book_name,authors,rating,publish_year,publish_month,publish_day,publisher,num_reviews,num_pages
The Best Laid Plans,Sidney Sheldon,3.69,1998,1,5,HarperCollins Publishers,28,344
"Morning, Noon & Night",Sidney Sheldon,3.66,1996,1,5,HarperCollins,16,375
The Naked Face,Sidney Sheldon,3.53,2006,7,8,HarperTorch,23,278
"The Adventures of Tintin, Volume 8: The Castafiore Emerald / Flight 714 to Sydney / Tintin and the Picaros / Tintin and Alph-Art (tintin, #21-24)",Hergé,4.3,2007,1,2,Egmont Books (UK),25,288
"The Crab with the Golden Claws (Tintin, #9)",Hergé,4.08,1986,1,1,Routledge,1,62
Tintin and the Lake of Sharks,Hergé,3.52,2003,20,6,Egmont Books Ltd,1,64
Collected Poems,George Seferis,4.35,1995,3,7,Princeton University Press,20,299
"Simple Genius (Sean King & Michelle Maxwell, #3)",David Baldacci,3.93,2008,8,10,Hachette Audio,2,0
The Gift,Danielle Steel,3.93,2004,28,9,Random House Audio,2,0
"Hour Game (Sean King & Michelle Maxwell, #2)",David Baldacci,3.97,2008,6,2,Hachette Audio,5,624
The Lorax,Dr. Seuss,4.35,1971,12,8,Random House Books for Young Readers,22,72
Shadow Divers,Robert Kurson,4.3,2005,3,5,Random House Audio,4,0
The Transit of Venus,Shirley Hazzard,3.9,1981,3,12,Penguin Books Ltd,1,352
The Hothouse,Wolfgang Koeppen,3.41,2001,9,6,W. W. Norton & Company,11,221
Jitterbug Perfume,Tom Robbins,4.25,1985,1,10,Bantam Books (Mm),53,400
A Moveable Feast,Ernest Hemingway,4.04,1981,1,9,Charles Scribner's Sons,1,211
An Artist of the Floating World,Kazuo Ishiguro,3.76,1986,17,3,Faber and Faber,2,206
"Two for the Dough (Stephanie Plum, #2)",Janet Evanovich,4.11,1999,1,1,Simon & Schuster Audio,11,1
Tales from Watership Down,Richard  Adams,3.8,1996,5,9,Hutchinson & Company,9,198
The Railway Children,E. Nesbit,4.01,1996,1,6,Naxos Audiobooks,2,2
All the King's Men,Robert Penn Warren,4.09,2006,5,9,Mariner Books,63,672
Never Let Me Go,Kazuo Ishiguro,3.82,2006,5,1,Faber and Faber,107,282
A Thousand Acres,Jane Smiley,3.81,1991,23,10,Alfred A. Knopf,72,371
The Professor,Charlotte Brontë,3.58,1994,1,4,Wordsworth Classics,42,212
"Cry, the Beloved Country",Alan Paton,3.9,1987,27,12,Jonathan Cape,1,256
Five Quarters of the Orange,Joanne Harris,3.85,2001,24,4,William Morrow,31,307
Case Histories (Jackson Brodie #1),Kate Atkinson,3.83,2005,1,6,Black Swan,93,428
"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,4.3,2007,15,3,Gollancz,2827,441
Small Island,Andrea Levy,3.96,2004,2,2,Headline Review,19,448
Purple Hibiscus,Chimamanda Ngozi Adichie,4.18,2004,1,1,New York,14,307
The Reader,Ali Smith,3.66,2006,14,9,Constable,7,470
New York,Kjersti Hoff Báez,3.92,2003,1,1,Barbour Publishing,1,464
Mercy,Jodi Picoult,3.58,2007,23,8,Hodder & Stoughton,30,449
Gould's Book of Fish: A Novel in Twelve Fish,Richard Flanagan,3.69,2002,9,4,Grove/Atlantic,25,404
Exposure,Patricia Murdoch,3.53,2006,1,3,Orca Book Publishers,35,102
Catwings,Ursula K. Le Guin,4.09,2003,1,5,Turtleback Books,2,47
"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,4.09,1990,15,11,Atheneum Books for Young Readers,20,163
Rocannon's World,Ursula K. Le Guin,3.75,1980,1,8,Ace,10,156
The Savage Detectives,Roberto Bolaño,4.12,2007,1,10,Picador USA,15,577
Burger's Daughter,Nadine Gordimer,3.54,1987,27,12,Jonathan Cape,1,361
On Photography,Susan Sontag,3.83,1979,27,9,Penguin,18,207
The Discomfort Zone: A Personal History,Jonathan Franzen,3.4,2006,1,10,Fourth Estate,3,195
Dance Dance Dance,Haruki Murakami,4.04,2002,7,2,Vintage,5,400
Timbuktu,Paul Auster,3.69,2008,3,1,Faber and Faber,46,186
The Last Unicorn,Peter S. Beagle,4.17,1985,12,1,Del Rey,7,248
Watchers,Dean Koontz,4.18,1991,1,12,MacMillan Publishing Company,2,715
Hunger,William R. Dantz,3.78,1992,1,6,Forge,11,348
Brideshead Revisited,Evelyn Waugh,4.0,1990,23,11,Penguin Classic,31,336
Collected Stories,Gabriel García Márquez,4.19,1994,1,1,Harper Perennial,5,311
Fever 1793,Laurie Halse Anderson,3.92,2000,5,9,Listening Library,5,6
Little Birds,Anaïs Nin,3.72,1998,3,10,Penguin Books,3,159
The Samurai's Garden,Gail Tsukiyama,4.13,1995,1,3,St. Martin's Press,18,211
The Consolations of Philosophy,Alain de Botton,4.01,2000,25,4,Pantheon Books,8,272
Gravity,Tess Gerritsen,4.05,2000,1,10,Pocket Books,62,400
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.24,2002,18,3,Farrar Straus Giroux,1,384
Porno,Irvine Welsh,3.75,2003,3,7,Vintage,15,496
Black Beauty,Eleanor Graham Vance,3.88,1949,12,11,Random House Books for Young Readers,6,62
The Black Tulip,Florence  Bell,3.13,2006,1,12,MacMillan UK,2,63
Cane,Jean Toomer,3.87,1987,17,12,W. W. Norton & Company,24,256
My Year of Meats,Ruth Ozeki,3.96,1998,1,6,Viking Adult,38,366
Lady Chatterley's Lover,D.H. Lawrence,3.5,1994,13,1,Grove Press,14,384
Ulysses,James Joyce,3.73,2002,5,3,Random House,15,800
Their Eyes Were Watching God,Zora Neale Hurston,3.92,1978,1,3,University of Illinois Press,47,286
Hard Times,Charles Dickens,3.53,2001,10,7,Modern Library,16,338
A Christmas Carol,Charles Dickens,4.05,1990,1,9,"Stewart, Tabori, & Chang",13,152
Don Juan,Lord Byron,3.8,1972,6,10,Houghton Mifflin,5,491
Ham on Rye,Charles Bukowski,4.14,1982,1,7,Black Sparrow Press,13,283
The Second Sex,Simone de Beauvoir,4.13,1989,17,12,Vintage,9,814
Nightwood,Djuna Barnes,3.65,2000,20,6,Modern Library,6,169
The Gospel According to Larry,Janet Tashjian,3.75,2003,13,5,Laurel Leaf,46,219
Plan B,Emily Barr,3.7,2006,6,3,Headline Review,36,448
If Beale Street Could Talk,James Baldwin,4.23,1994,29,9,Penguin,12,240
Phantoms,Dean Koontz,3.94,1997,1,9,Berkley,6,425
The Sheltering Sky,Paul Bowles,3.91,2004,29,1,Penguin Classics,34,368
The Order of Things: An Archaeology of the Human Sciences,Michel Foucault,4.13,1994,29,3,Vintage,2,387
Orthodoxy,G.K. Chesterton,4.18,2006,1,4,Relevant Books,11,115
The Golden Bowl,Henry James,3.79,1999,2,12,Oxford University Press,4,576
Looking for Mr. Goodbar,Judith Rossner,3.67,1975,31,12,Simon & Schuster,15,284
Are You Afraid of the Dark?,Sidney Sheldon,3.66,2004,14,9,William Morrow,35,352
Antología Poética,Vinicius de Moraes,4.21,2005,30,6,Ediciones de la Flor,8,187
Mansfield Park,Jane Austen,3.86,1996,17,4,10/18,4,646
"The Cat Who Could Read Backwards (Cat Who..., #1)",Lilian Jackson Braun,3.85,1986,1,7,Jove,10,250
Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,3.87,2001,3,4,HarperFestival,6,321
Slow Man,J.M. Coetzee,3.43,2005,1,9,Secker,6,265
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,4.07,2007,3,5,Penguin,108,316
Summer of my German Soldier,Bette Greene,3.68,1984,1,4,Bantam Books,1,199
"Charmed Life (Chrestomanci, #1)",Diana Wynne Jones,3.97,2001,10,4,Greenwillow Books,9,261
"The Source of Magic (Xanth, #2)",Piers Anthony,3.87,1987,12,7,Del Rey Books,2,326
"A Spell for Chameleon (Xanth, #1)",Piers Anthony,3.93,1987,12,3,Del Rey Books,4,344
"Centaur Aisle (Xanth, #4)",Piers Anthony,3.79,1987,12,9,Del Rey Books,3,304
The Wanderers,Richard Price,3.9,1999,15,4,Mariner Books,20,256
Little Women,Louisa May Alcott,4.08,2000,1,6,Aladdin,20,759
On Truth,Harry G. Frankfurt,3.53,2007,6,9,Pimlico,1,101
Dirty Blonde,Lisa Scottoline,3.71,2007,1,7,Pan Publishing,6,358
My Life,Burt Reynolds,3.74,1994,17,10,Hyperion,13,352
The Phantom of the Opera,Gaston Leroux,3.97,2006,1,3,Naxos Audiobooks,3,2
The Devil's Arithmetic,Jane Yolen,4.02,2001,1,5,Barn Owl Books,8,166
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.61,2004,1,5,Recorded Books,36,19
Lolita,Vladimir Nabokov,3.89,1997,7,4,Random House Audio,4,0
"River God (Ancient Egypt, #1)",Wilbur Smith,4.21,2007,6,4,Pan Books (UK),38,662
Eagle in the Sky,Wilbur Smith,4.06,1975,1,9,Pan Publishing,135,373
"The Pale Horseman (The Saxon Stories, #2)",Bernard Cornwell,4.3,2006,27,5,Harper,54,416
D'Aulaires' Book of Greek Myths,Ingri d'Aulaire,4.41,1962,19,9,"Doubleday & Company, Inc.",58,192
Dear John,Nicholas Sparks,4.04,2007,7,8,Grand Central Publishing,218,276
A Walk to Remember,Nicholas Sparks,4.17,1999,1,10,Warner Books,128,240
A Bend in the Road,Nicholas Sparks,4.03,2002,2,7,Random House Large Print,4,544
The Choice,Nicholas Sparks,4.0,2007,6,12,Sphere,11,272
The Jungle Book,Rudyard Kipling,3.93,2000,24,3,Dover Publications,6,152
Of Human Bondage,W. Somerset Maugham,4.13,1976,3,7,Pocket Books,1,309
"Forever Odd (Odd Thomas, #2)",Dean Koontz,3.97,2006,1,7,HarperCollins Publishers,42,419
Charlie and the Chocolate Factory,Roald Dahl,4.14,2014,5,8,Knopf Books for Young Readers,20,147
The Bell Jar,Sylvia Plath,4.01,2003,23,9,HarperCollins,16,391
Only Revolutions,Mark Z. Danielewski,3.21,2006,12,9,Doubleday,5,384
Crime and Punishment,Fyodor Dostoyevsky,4.22,1999,1,2,Signet Classic,14,539
The Diviners,Margaret Laurence,4.17,1984,1,10,Seal,2,467
The True Confessions of Charlotte Doyle,Avi,3.83,2003,2,9,Turtleback Books,8,272
"What Came Before He Shot Her (Inspector Lynley, #14)",Elizabeth  George,3.56,2007,10,1,Hodder & Stoughton,5,512
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.04,1992,5,11,Arrow,37,768
Under the Net,Iris Murdoch,3.77,2002,28,5,Vintage Books,45,286
A Severed Head,Iris Murdoch,3.74,2001,5,7,Vintage Classics,14,224
The Black Prince,Iris Murdoch,3.94,1978,1,5,Warner Books (NY),2,432
La piel del tambor,Arturo Pérez-Reverte,3.68,2001,1,3,Alfaguara/Santillana USA Publishing Company,49,589
Barney's Version,Mordecai Richler,4.16,1998,1,11,Vintage Canada,46,432
Hunting and Gathering,Anna Gavalda,4.11,2004,1,1,Vintage,19,480
Fantastic Mr. Fox,Roald Dahl,4.06,2009,27,10,HarperCollins Publishers,11,0
The Twits,Roald Dahl,3.97,2006,7,2,HarperCollins Publishers,11,0
"If I Am Missing or Dead: A Sister's Story of Love, Murder, and Liberation",Janine Latus,3.45,2007,15,5,Tantor Media,1,0
Jarhead : A Marine's Chronicle of the Gulf War and Other Battles,Anthony Swofford,3.66,2005,27,9,Pocket,12,384
Woman on the Edge of Time,Marge Piercy,3.95,1985,12,11,Fawcett,1,381
"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,4.11,1986,11,2,Random House (NY),37,597
Copenhagen,Michael Frayn,4.01,1998,4,6,Bloomsbury Methuen Drama,6,160
Here,Michael Frayn,2.71,1994,21,3,Heinemann Educational Books,2,138
Henry V,William Shakespeare,3.88,1988,1,1,Bantam Classics,8,165
Julius Caesar,William Shakespeare,3.68,2005,1,2,Bantam Classic,10,288
The Merchant of Venice,William Shakespeare,3.8,1988,1,1,Bantam Classics,9,129
Macbeth,William Shakespeare,3.9,1988,1,1,Bantam Books,28,177
King Lear,William Shakespeare,3.91,1988,1,1,Bantam Classics,10,352
As You Like It,William Shakespeare,3.83,1988,1,1,Bantam Classics,6,96
Richard III,William Shakespeare,3.93,1988,1,1,Bantam Classics,9,348
Going After Cacciato,Tim O'Brien,3.91,1992,2,6,Dell/Laurel,7,320
Divisadero,Michael Ondaatje,3.5,2007,29,5,Random House Large Print Publishing,2,464
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,A.J. Jacobs,3.76,2006,2,2,Arrow,20,386
Northanger Abbey,Jane Austen,3.82,1985,1,9,Bantam Classics,30,211
Brave New World,Aldous Huxley,3.99,1994,10,1,Flamingo Modern Classics,42,237
A Grief Observed,C.S. Lewis,4.21,1983,1,2,Bantam Books,1,160
Nightfall,David Goodis,3.89,1991,7,5,Vintage Crime/Black Lizard,2,139
It's Not the End of the World,Judy Blume,3.75,1976,1,9,Bradbury Press,1,169
Forever...,Judy Blume,3.62,1975,1,9,Bradbury Press,4,199
Forever,Judy Blume,3.62,1982,1,12,MacMillan Publishing Company,21,199
A Clockwork Orange,Anthony Burgess,4.0,1979,12,5,Ballantine Books,2,191
"Practical Demonkeeping (Pine Cove, #1)",Christopher Moore,3.83,2000,1,6,Harper Perennial,18,256
Mission of Gravity,Hal Clement,3.91,1979,12,4,Del Rey,4,233
Natural Capitalism,Paul Hawken,3.99,2007,15,10,"Little, Brown and Company",3,416
"Seventh Son (Tales of Alvin Maker, #1)",Orson Scott Card,3.87,1993,15,6,Turtleback Books,2,256
Children of Dune (Dune Chronicles #3),Frank Herbert,3.93,1984,15,1,Berkley,4,408
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,3.84,2007,12,7,Headline,13,226
Snow Crash,Neal Stephenson,4.03,2000,2,5,Turtleback Books,41,468
Dom Casmurro,Machado de Assis,4.3,1998,1,12,"Oxford University Press, USA",24,288
Helena,Machado de Assis,3.6,1984,6,3,University of California Press,3,197
"One, Two, Buckle My Shoe (Hercule Poirot, #23)",Agatha Christie,3.76,1987,15,4,Berkley,74,256
They Came to Baghdad,Agatha Christie,3.8,2002,17,6,Minotaur Books,17,280
"Elephants Can Remember (Hercule Poirot, #40)",Agatha Christie,3.64,2008,1,6,HarperCollins Publishers,95,299
King Rat,China Miéville,3.54,1999,11,6,Pan Publishing,30,421
"No Humans Involved (Women of the Otherworld, #7)",Kelley Armstrong,4.2,2007,3,5,Orbit,10,342
"Stolen (Women of the Otherworld, #2)",Kelley Armstrong,4.15,2004,22,4,Orbit,61,532
"Dime Store Magic (Women of the Otherworld, #3)",Kelley Armstrong,4.08,2004,19,2,Orbit,60,462
Villa Incognito,Tom Robbins,3.67,2003,29,4,Bantam Books,21,254
Finnegans Wake,James Joyce,3.67,1992,2,6,Vintage,3,628
The Arabian Nights,Laurence Housman,3.89,1946,1,10,Grosset & Dunlap,22,327
The Wind in the Willows,Kenneth Grahame,3.99,1983,1,9,Atheneum Books for Young Readers,47,244
El coronel no tiene quien le escriba,Gabriel García Márquez,3.76,1991,1,3,Norma,2,208
"Winesburg, Ohio",Sherwood Anderson,3.84,1987,7,4,Penguin Classics,10,247
The Language of God: A Scientist Presents Evidence for Belief,Francis S. Collins,3.86,2006,17,7,Simon  Schuster Audio,10,0
Betrayal,Karen Fenech,3.52,2006,30,11,Five Star (ME),12,303
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,1995,7,8,HarperCollins,14,374
The Accidental Tourist,Anne Tyler,3.91,1986,1,7,Penguin Canada,8,355
The Immoralist,André Gide,3.58,1996,13,2,Random House Inc (P),15,171
Blood and Chocolate,Annette Curtis Klause,3.78,2007,14,8,Ember,71,264
Mother Courage and Her Children,Bertolt Brecht,3.65,2012,15,3,Methuen Drama,8,110
"Spin (Spin, #1)",Robert Charles Wilson,4.02,2006,7,2,Tor Science Fiction,1975,464
Where the Heart Is,Billie Letts,4.02,2001,15,4,Warner Books,18,358
The Picture of Dorian Gray,Oscar Wilde,4.08,1992,5,9,Modern Library,71,254
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,4.13,2005,28,3,Barnes & Noble Classics,37,242
Duino Elegies,Rainer Maria Rilke,4.43,1961,1,8,University of California Press,1,89
El mundo de Sofía,Jostein Gaarder,3.93,2005,30,6,Grupo Anaya Comercial,19,638
Bread and Jam for Frances,Russell Hoban,4.21,1993,28,1,HarperCollins,452,32
"Still Life With Crows (Pendergast, #4)",Douglas Preston,4.18,2003,1,7,Grand Central Publishing,50,435
When the Emperor Was Divine,Julie Otsuka,3.74,2003,14,10,Random House Large Print,7,272
Camouflage,Murray Bail,3.21,2000,1,11,Text Publishing,1,84
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,2007,1,8,Arthur A. Levine Books,91,759
Breathless,Jean-Luc Godard,4.21,1988,1,1,Rutgers University Press,5,248
Strega Nona,Tomie dePaola,4.24,1979,3,9,Simon  Schuster Books for Young Readers,42,40
Lord of Light,Roger Zelazny,4.09,2006,1,8,Gollancz,10,320
The Assassins' Gate: America in Iraq,George Packer,4.06,2007,18,1,Faber  Faber,1,512
The Merry Wives of Windsor,William Shakespeare,3.56,2004,1,7,Simon  Schuster,97,263
Lake Wobegon Days,Garrison Keillor,3.63,1985,31,12,Thorndike Press,1,657
Up the Down Staircase,Bel Kaufman,3.95,1991,23,5,Turtleback Books,3,368
"Messenger of Truth (Maisie Dobbs, #4)",Jacqueline Winspear,3.99,2007,1,2,Center Point,4,414
Everything's Eventual,Stephen King,3.97,2002,1,3,Hodder & Stoughton,25,416
Everything's Eventual: 14 Dark Tales,Stephen King,3.97,2002,2,4,Scribner Book Company,4,672
