user_id,book_name,rating
503,Me Talk Pretty One Day,4
1120,Henry V,3
4284,Jane Eyre,4
1018,"Eat, Pray, Love",2
3485,The Book of Laughter and Forgetting,3
1543,Blink: The Power of Thinking Without Thinking,3
1059,Fahrenheit 451,1
760,Freedom,4
2282,Year Zero,2
4253,"The Da Vinci Code (Robert Langdon, #2)",4
4544,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4
5063,Betrayal,5
882,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",5
3484,Millennium Approaches (Angels in America #1),5
1122,Phoenix,4
2208,A Light in the Attic,4
62,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4
5275,Naked,5
4825,Nights at the Circus,3
1862,The Mayor of Casterbridge,4
4120,La sonrisa etrusca,3
3921,The Cat in the Hat and Other Dr. Seuss Favorites,5
5231,Winner of the National Book Award,4
4147,The Hellbound Heart,3
3374,The Chamber,3
3614,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4
5569,Oliver Twist,4
2090,Vertigo: The Making of a Hitchcock Classic,4
5250,Lone Wolf,4
675,The Incredible Journey,5
4697,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",3
182,Where the Wild Things Are,5
425,Grant,5
4389,The Unbearable Lightness of Being,5
895,Darwin's Dangerous Idea: Evolution and the Meanings of Life,4
4312,Hamlet,5
2631,The Beauty of the Husband: A Fictional Essay in 29 Tangos,4
4312,"One Shot (Jack Reacher, #9)",5
4534,"Pyramids (Discworld, #7)",4
3201,Life is Elsewhere,4
696,"Y: The Last Man, Vol. 8: Kimono Dragons (Y: The Last Man, #8)",4
2090,Daddy-Long-Legs,3
3161,White Teeth,4
946,The Alchemist,3
505,Breakfast of Champions,4
166,The Book Thief,4
4411,"Plainsong (Plainsong, #1)",4
4152,The War of the Worlds,4
362,Wild Strawberries,4
503,Blindness,3
3843,Ultramarathon Man: Confessions of an All-Night Runner,4
1145,Matilda,5
1125,"Sarah's Quilt (Sarah Agnes Prine, #2)",5
181,A Tree Grows in Brooklyn,2
5886,"Eat, Pray, Love",3
2696,A Passage to India,4
1272,Dress Your Family in Corduroy and Denim,3
1393,Antigone - In a Version by Bertolt Brecht,3
4196,A Feast of Snakes,3
613,The Gathering,3
2870,The Reader,4
1163,"A Clash of Kings (A Song of Ice and Fire, #2)",4
4897,Solaris,3
166,Nickel and Dimed: On (Not) Getting by in America,3
4746,Utopia,3
4366,The Great Gatsby,4
1352,Atonement,4
411,A People's History of the United States,5
4956,The Guardian,4
562,The Giving Tree,4
4290,Rebecca,5
570,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5
2616,The Secret Life of Bees,4
2129,Laughable Loves,5
4196,Ella Enchanted (Ella Enchanted #1),4
5018,"The Da Vinci Code (Robert Langdon, #2)",5
5872,Wuthering Heights,3
1,On the Road,4
855,Snow Crash,4
959,Sin noticias de Gurb,5
5063,The Happy Prince,3
